clusters_sub	cell_types
CLEC4Gpos315_8_157	13	LSEC
CLEC4Gpos315_8_166	9	LSEC
CLEC4Gpos315_8_168	9	LSEC
CLEC4Gpos315_8_175	13	LSEC
EPCAMTrop2high_2_1	4	EPCAM+
EPCAMTrop2high_2_2	4	EPCAM+
EPCAMTrop2high_2_3	7	EPCAM+
EPCAMTrop2high_2_4	4	EPCAM+
EPCAMTrop2high_2_5	7	EPCAM+
EPCAMTrop2high_2_6	7	EPCAM+
EPCAMTrop2high_2_7	4	EPCAM+
EPCAMTrop2high_2_8	7	EPCAM+
EPCAMTrop2high_2_9	7	EPCAM+
EPCAMTrop2high_2_10	4	EPCAM+
EPCAMTrop2high_2_11	7	EPCAM+
EPCAMTrop2high_2_12	4	EPCAM+
EPCAMTrop2high_2_13	4	EPCAM+
EPCAMTrop2high_2_14	7	EPCAM+
EPCAMTrop2high_2_15	4	EPCAM+
EPCAMTrop2high_2_16	7	EPCAM+
EPCAMTrop2high_2_17	7	EPCAM+
EPCAMTrop2high_2_18	4	EPCAM+
EPCAMTrop2high_2_19	4	EPCAM+
EPCAMTrop2high_2_21	4	EPCAM+
EPCAMTrop2high_2_22	7	EPCAM+
EPCAMTrop2high_2_23	7	EPCAM+
EPCAMTrop2high_2_24	7	EPCAM+
EPCAMTrop2high_2_25	7	EPCAM+
EPCAMTrop2high_2_26	4	EPCAM+
EPCAMTrop2high_2_27	7	EPCAM+
EPCAMTrop2high_2_28	7	EPCAM+
EPCAMTrop2high_2_29	4	EPCAM+
EPCAMTrop2high_2_30	4	EPCAM+
EPCAMTrop2high_2_31	7	EPCAM+
EPCAMTrop2high_2_32	7	EPCAM+
EPCAMTrop2high_2_33	7	EPCAM+
EPCAMTrop2high_2_35	4	EPCAM+
EPCAMTrop2high_2_36	7	EPCAM+
EPCAMTrop2high_2_37	7	EPCAM+
EPCAMTrop2high_2_38	4	EPCAM+
EPCAMTrop2high_2_39	4	EPCAM+
EPCAMTrop2high_2_40	7	EPCAM+
EPCAMTrop2high_2_41	7	EPCAM+
EPCAMTrop2high_2_42	7	EPCAM+
EPCAMTrop2high_2_43	4	EPCAM+
EPCAMTrop2high_2_44	7	EPCAM+
EPCAMTrop2high_2_45	7	EPCAM+
EPCAMTrop2high_2_46	4	EPCAM+
EPCAMTrop2high_2_47	7	EPCAM+
EPCAMTrop2high_2_48	7	EPCAM+
EPCAMTrop2high_2_49	7	EPCAM+
EPCAMTrop2high_2_50	7	EPCAM+
EPCAMTrop2high_2_51	4	EPCAM+
EPCAMTrop2high_2_52	4	EPCAM+
EPCAMTrop2high_2_53	7	EPCAM+
EPCAMTrop2high_2_55	7	EPCAM+
EPCAMTrop2high_2_56	7	EPCAM+
EPCAMTrop2high_2_57	11	Hepatocytes
EPCAMTrop2high_2_58	7	EPCAM+
EPCAMTrop2high_2_59	4	EPCAM+
EPCAMTrop2high_2_60	4	EPCAM+
EPCAMTrop2high_2_61	4	EPCAM+
EPCAMTrop2high_2_62	7	EPCAM+
EPCAMTrop2high_2_63	4	EPCAM+
EPCAMTrop2high_2_64	4	EPCAM+
EPCAMTrop2high_2_129	7	EPCAM+
EPCAMTrop2high_2_130	7	EPCAM+
EPCAMTrop2high_2_131	7	EPCAM+
EPCAMTrop2high_2_132	4	EPCAM+
EPCAMTrop2high_2_133	4	EPCAM+
EPCAMTrop2high_2_134	4	EPCAM+
EPCAMTrop2high_2_135	7	EPCAM+
EPCAMTrop2high_2_136	4	EPCAM+
EPCAMTrop2high_2_137	7	EPCAM+
EPCAMTrop2high_2_138	7	EPCAM+
EPCAMTrop2high_2_139	4	EPCAM+
EPCAMTrop2high_2_140	7	EPCAM+
EPCAMTrop2high_2_141	7	EPCAM+
EPCAMTrop2high_2_142	7	EPCAM+
EPCAMTrop2high_2_143	4	EPCAM+
EPCAMTrop2high_2_144	7	EPCAM+
EPCAMTrop2high_2_145	4	EPCAM+
EPCAMTrop2high_2_146	4	EPCAM+
EPCAMTrop2high_2_147	4	EPCAM+
EPCAMTrop2high_2_148	7	EPCAM+
EPCAMTrop2high_2_149	7	EPCAM+
EPCAMTrop2high_2_151	7	EPCAM+
EPCAMTrop2high_2_152	7	EPCAM+
EPCAMTrop2high_2_153	4	EPCAM+
EPCAMTrop2high_2_154	24	EPCAM+
EPCAMTrop2high_2_155	7	EPCAM+
EPCAMTrop2high_2_156	11	Hepatocytes
EPCAMTrop2high_2_157	7	EPCAM+
EPCAMTrop2high_2_158	7	EPCAM+
EPCAMTrop2high_2_159	4	EPCAM+
EPCAMTrop2high_2_160	7	EPCAM+
EPCAMTrop2high_2_161	7	EPCAM+
EPCAMTrop2high_2_162	7	EPCAM+
EPCAMTrop2high_2_163	4	EPCAM+
EPCAMTrop2high_2_164	7	EPCAM+
EPCAMTrop2high_2_165	4	EPCAM+
EPCAMTrop2high_2_166	4	EPCAM+
EPCAMTrop2high_2_167	4	EPCAM+
EPCAMTrop2high_2_168	7	EPCAM+
EPCAMTrop2high_2_170	7	EPCAM+
EPCAMTrop2high_2_171	7	EPCAM+
EPCAMTrop2high_2_172	4	EPCAM+
EPCAMTrop2high_2_173	4	EPCAM+
EPCAMTrop2high_2_174	7	EPCAM+
EPCAMTrop2high_2_175	7	EPCAM+
EPCAMTrop2high_2_176	7	EPCAM+
EPCAMTrop2high_2_177	4	EPCAM+
EPCAMTrop2high_2_178	7	EPCAM+
EPCAMTrop2high_2_179	7	EPCAM+
EPCAMTrop2high_2_180	4	EPCAM+
EPCAMTrop2high_2_181	7	EPCAM+
EPCAMTrop2high_2_182	7	EPCAM+
EPCAMTrop2high_2_183	7	EPCAM+
EPCAMTrop2high_2_184	7	EPCAM+
EPCAMTrop2high_2_185	7	EPCAM+
EPCAMTrop2high_2_186	7	EPCAM+
EPCAMTrop2high_2_187	7	EPCAM+
EPCAMTrop2high_2_188	4	EPCAM+
EPCAMTrop2high_2_189	7	EPCAM+
EPCAMTrop2high_2_190	7	EPCAM+
EPCAMTrop2high_2_191	4	EPCAM+
EPCAMTrop2high_2_192	7	EPCAM+
EPCAMTrop2int_1_2	4	EPCAM+
EPCAMTrop2int_1_3	4	EPCAM+
EPCAMTrop2int_1_4	7	EPCAM+
EPCAMTrop2int_1_5	7	EPCAM+
EPCAMTrop2int_1_6	4	EPCAM+
EPCAMTrop2int_1_7	4	EPCAM+
EPCAMTrop2int_1_8	4	EPCAM+
EPCAMTrop2int_1_9	11	Hepatocytes
EPCAMTrop2int_1_10	7	EPCAM+
EPCAMTrop2int_1_11	4	EPCAM+
EPCAMTrop2int_1_12	4	EPCAM+
EPCAMTrop2int_1_14	4	EPCAM+
EPCAMTrop2int_1_15	4	EPCAM+
EPCAMTrop2int_1_16	4	EPCAM+
EPCAMTrop2int_1_17	7	EPCAM+
EPCAMTrop2int_1_18	4	EPCAM+
EPCAMTrop2int_1_19	4	EPCAM+
EPCAMTrop2int_1_20	7	EPCAM+
EPCAMTrop2int_1_21	4	EPCAM+
EPCAMTrop2int_1_22	4	EPCAM+
EPCAMTrop2int_1_23	4	EPCAM+
EPCAMTrop2int_1_24	7	EPCAM+
EPCAMTrop2int_1_25	4	EPCAM+
EPCAMTrop2int_1_26	4	EPCAM+
EPCAMTrop2int_1_28	4	EPCAM+
EPCAMTrop2int_1_30	4	EPCAM+
EPCAMTrop2int_1_31	4	EPCAM+
EPCAMTrop2int_1_32	4	EPCAM+
EPCAMTrop2int_1_33	7	EPCAM+
EPCAMTrop2int_1_34	4	EPCAM+
EPCAMTrop2int_1_35	4	EPCAM+
EPCAMTrop2int_1_36	4	EPCAM+
EPCAMTrop2int_1_37	4	EPCAM+
EPCAMTrop2int_1_38	4	EPCAM+
EPCAMTrop2int_1_39	4	EPCAM+
EPCAMTrop2int_1_40	4	EPCAM+
EPCAMTrop2int_1_41	4	EPCAM+
EPCAMTrop2int_1_43	4	EPCAM+
EPCAMTrop2int_1_44	4	EPCAM+
EPCAMTrop2int_1_45	7	EPCAM+
EPCAMTrop2int_1_46	7	EPCAM+
EPCAMTrop2int_1_47	4	EPCAM+
EPCAMTrop2int_1_50	4	EPCAM+
EPCAMTrop2int_1_51	4	EPCAM+
EPCAMTrop2int_1_52	4	EPCAM+
EPCAMTrop2int_1_53	4	EPCAM+
EPCAMTrop2int_1_54	4	EPCAM+
EPCAMTrop2int_1_55	4	EPCAM+
EPCAMTrop2int_1_56	4	EPCAM+
EPCAMTrop2int_1_59	4	EPCAM+
EPCAMTrop2int_1_60	4	EPCAM+
EPCAMTrop2int_1_61	11	Hepatocytes
EPCAMTrop2int_1_62	4	EPCAM+
EPCAMTrop2int_1_63	4	EPCAM+
EPCAMTrop2int_1_64	7	EPCAM+
EPCAMTrop2int_1_66	4	EPCAM+
EPCAMTrop2int_1_67	4	EPCAM+
EPCAMTrop2int_1_68	4	EPCAM+
EPCAMTrop2int_1_69	4	EPCAM+
EPCAMTrop2int_1_70	4	EPCAM+
EPCAMTrop2int_1_71	4	EPCAM+
EPCAMTrop2int_1_72	4	EPCAM+
EPCAMTrop2int_1_73	7	EPCAM+
EPCAMTrop2int_1_74	4	EPCAM+
EPCAMTrop2int_1_75	4	EPCAM+
EPCAMTrop2int_1_76	11	Hepatocytes
EPCAMTrop2int_1_77	4	EPCAM+
EPCAMTrop2int_1_78	4	EPCAM+
EPCAMTrop2int_1_79	4	EPCAM+
EPCAMTrop2int_1_80	4	EPCAM+
EPCAMTrop2int_1_81	4	EPCAM+
EPCAMTrop2int_1_83	4	EPCAM+
EPCAMTrop2int_1_84	4	EPCAM+
EPCAMTrop2int_1_85	4	EPCAM+
EPCAMTrop2int_1_86	4	EPCAM+
EPCAMTrop2int_1_87	4	EPCAM+
EPCAMTrop2int_1_88	4	EPCAM+
EPCAMTrop2int_1_92	4	EPCAM+
EPCAMTrop2int_1_93	4	EPCAM+
EPCAMTrop2int_1_94	7	EPCAM+
EPCAMTrop2int_1_95	4	EPCAM+
EPCAMTrop2int_1_96	4	EPCAM+
EPCAMTrop2int_1_97	7	EPCAM+
EPCAMTrop2int_1_98	4	EPCAM+
EPCAMTrop2int_1_99	4	EPCAM+
EPCAMTrop2int_1_100	4	EPCAM+
EPCAMTrop2int_1_101	4	EPCAM+
EPCAMTrop2int_1_102	4	EPCAM+
EPCAMTrop2int_1_103	4	EPCAM+
EPCAMTrop2int_1_104	7	EPCAM+
EPCAMTrop2int_1_105	4	EPCAM+
EPCAMTrop2int_1_106	4	EPCAM+
EPCAMTrop2int_1_107	4	EPCAM+
EPCAMTrop2int_1_108	4	EPCAM+
EPCAMTrop2int_1_109	4	EPCAM+
EPCAMTrop2int_1_110	4	EPCAM+
EPCAMTrop2int_1_111	4	EPCAM+
EPCAMTrop2int_1_112	4	EPCAM+
EPCAMTrop2int_1_113	4	EPCAM+
EPCAMTrop2int_1_114	4	EPCAM+
EPCAMTrop2int_1_115	4	EPCAM+
EPCAMTrop2int_1_116	4	EPCAM+
EPCAMTrop2int_1_117	4	EPCAM+
EPCAMTrop2int_1_118	4	EPCAM+
EPCAMTrop2int_1_119	4	EPCAM+
EPCAMTrop2int_1_120	4	EPCAM+
EPCAMTrop2int_1_121	4	EPCAM+
EPCAMTrop2int_1_122	4	EPCAM+
EPCAMTrop2int_1_123	4	EPCAM+
EPCAMTrop2int_1_124	4	EPCAM+
EPCAMTrop2int_1_125	7	EPCAM+
EPCAMTrop2int_1_126	4	EPCAM+
EPCAMTrop2int_1_127	4	EPCAM+
EPCAMTrop2int_1_128	4	EPCAM+
EPCAMTrop2low_3_65	4	EPCAM+
EPCAMTrop2low_3_66	11	Hepatocytes
EPCAMTrop2low_3_67	4	EPCAM+
EPCAMTrop2low_3_68	4	EPCAM+
EPCAMTrop2low_3_69	4	EPCAM+
EPCAMTrop2low_3_70	4	EPCAM+
EPCAMTrop2low_3_72	4	EPCAM+
EPCAMTrop2low_3_73	4	EPCAM+
EPCAMTrop2low_3_74	11	Hepatocytes
EPCAMTrop2low_3_75	4	EPCAM+
EPCAMTrop2low_3_76	4	EPCAM+
EPCAMTrop2low_3_77	4	EPCAM+
EPCAMTrop2low_3_78	4	EPCAM+
EPCAMTrop2low_3_79	4	EPCAM+
EPCAMTrop2low_3_80	4	EPCAM+
EPCAMTrop2low_3_81	4	EPCAM+
EPCAMTrop2low_3_83	11	Hepatocytes
EPCAMTrop2low_3_84	4	EPCAM+
EPCAMTrop2low_3_86	4	EPCAM+
EPCAMTrop2low_3_87	4	EPCAM+
EPCAMTrop2low_3_88	4	EPCAM+
EPCAMTrop2low_3_89	11	Hepatocytes
EPCAMTrop2low_3_90	4	EPCAM+
EPCAMTrop2low_3_91	4	EPCAM+
EPCAMTrop2low_3_92	4	EPCAM+
EPCAMTrop2low_3_93	4	EPCAM+
EPCAMTrop2low_3_95	4	EPCAM+
EPCAMTrop2low_3_96	4	EPCAM+
EPCAMTrop2low_3_97	4	EPCAM+
EPCAMTrop2low_3_98	4	EPCAM+
EPCAMTrop2low_3_99	4	EPCAM+
EPCAMTrop2low_3_100	4	EPCAM+
EPCAMTrop2low_3_101	4	EPCAM+
EPCAMTrop2low_3_102	4	EPCAM+
EPCAMTrop2low_3_103	4	EPCAM+
EPCAMTrop2low_3_105	4	EPCAM+
EPCAMTrop2low_3_106	4	EPCAM+
EPCAMTrop2low_3_107	4	EPCAM+
EPCAMTrop2low_3_108	4	EPCAM+
EPCAMTrop2low_3_109	4	EPCAM+
EPCAMTrop2low_3_110	4	EPCAM+
EPCAMTrop2low_3_111	4	EPCAM+
EPCAMTrop2low_3_112	4	EPCAM+
EPCAMTrop2low_3_113	4	EPCAM+
EPCAMTrop2low_3_114	4	EPCAM+
EPCAMTrop2low_3_115	4	EPCAM+
EPCAMTrop2low_3_117	4	EPCAM+
EPCAMTrop2low_3_118	4	EPCAM+
EPCAMTrop2low_3_119	4	EPCAM+
EPCAMTrop2low_3_120	4	EPCAM+
EPCAMTrop2low_3_121	11	Hepatocytes
EPCAMTrop2low_3_122	4	EPCAM+
EPCAMTrop2low_3_123	4	EPCAM+
EPCAMTrop2low_3_125	4	EPCAM+
EPCAMTrop2low_3_126	4	EPCAM+
EPCAMTrop2low_3_127	4	EPCAM+
EPCAMTrop2low_3_128	4	EPCAM+
EPCAMTrop2low_3_129	4	EPCAM+
EPCAMTrop2low_3_130	4	EPCAM+
EPCAMTrop2low_3_131	11	Hepatocytes
EPCAMTrop2low_3_132	11	Hepatocytes
EPCAMTrop2low_3_133	4	EPCAM+
EPCAMTrop2low_3_134	4	EPCAM+
EPCAMTrop2low_3_135	4	EPCAM+
EPCAMTrop2low_3_136	11	Hepatocytes
EPCAMTrop2low_3_137	4	EPCAM+
EPCAMTrop2low_3_138	7	EPCAM+
EPCAMTrop2low_3_139	4	EPCAM+
EPCAMTrop2low_3_141	4	EPCAM+
EPCAMTrop2low_3_142	4	EPCAM+
EPCAMTrop2low_3_143	4	EPCAM+
EPCAMTrop2low_3_144	4	EPCAM+
EPCAMTrop2low_3_145	4	EPCAM+
EPCAMTrop2low_3_146	4	EPCAM+
EPCAMTrop2low_3_147	4	EPCAM+
EPCAMTrop2low_3_148	11	Hepatocytes
EPCAMTrop2low_3_150	4	EPCAM+
EPCAMTrop2low_3_151	4	EPCAM+
EPCAMTrop2low_3_152	4	EPCAM+
EPCAMTrop2low_3_155	6	Kupffer cell
EPCAMTrop2low_3_156	4	EPCAM+
EPCAMTrop2low_3_157	4	EPCAM+
EPCAMTrop2low_3_158	4	EPCAM+
EPCAMTrop2low_3_159	4	EPCAM+
EPCAMTrop2low_3_161	7	EPCAM+
EPCAMTrop2low_3_162	4	EPCAM+
EPCAMTrop2low_3_163	4	EPCAM+
EPCAMTrop2low_3_164	11	Hepatocytes
EPCAMTrop2low_3_165	4	EPCAM+
EPCAMTrop2low_3_166	4	EPCAM+
EPCAMTrop2low_3_167	4	EPCAM+
EPCAMTrop2low_3_168	4	EPCAM+
EPCAMTrop2low_3_169	4	EPCAM+
EPCAMTrop2low_3_170	4	EPCAM+
EPCAMTrop2low_3_171	4	EPCAM+
EPCAMTrop2low_3_172	4	EPCAM+
EPCAMTrop2low_3_173	4	EPCAM+
EPCAMTrop2low_3_174	4	EPCAM+
EPCAMTrop2low_3_175	4	EPCAM+
EPCAMTrop2low_3_176	4	EPCAM+
EPCAMTrop2low_3_177	4	EPCAM+
EPCAMTrop2low_3_178	4	EPCAM+
EPCAMTrop2low_3_179	4	EPCAM+
EPCAMTrop2low_3_180	4	EPCAM+
EPCAMTrop2low_3_181	4	EPCAM+
EPCAMTrop2low_3_182	7	EPCAM+
EPCAMTrop2low_3_183	4	EPCAM+
EPCAMTrop2low_3_185	4	EPCAM+
EPCAMTrop2low_3_186	4	EPCAM+
EPCAMTrop2low_3_187	4	EPCAM+
EPCAMTrop2low_3_188	7	EPCAM+
EPCAMTrop2low_3_189	4	EPCAM+
EPCAMTrop2low_3_190	4	EPCAM+
EPCAMTrop2low_3_191	11	Hepatocytes
EPCAMTrop2low_3_192	4	EPCAM+
EPCAMhigh325_14_14	17	Hepatocytes
EPCAMint325325_13_21	14	Hepatocytes
EPCAMlow325_15_138	4	EPCAM+
EPCAMlow325_15_176	11	Hepatocytes
Epcampos315_1_3	4	EPCAM+
Epcampos315_1_4	4	EPCAM+
Epcampos315_1_5	7	EPCAM+
Epcampos315_1_6	7	EPCAM+
Epcampos315_1_7	4	EPCAM+
Epcampos315_1_10	7	EPCAM+
Epcampos315_1_11	4	EPCAM+
Epcampos315_1_12	4	EPCAM+
Epcampos315_1_13	4	EPCAM+
Epcampos315_1_15	4	EPCAM+
Epcampos315_1_17	4	EPCAM+
Epcampos315_1_18	4	EPCAM+
Epcampos315_1_20	4	EPCAM+
Epcampos315_1_21	4	EPCAM+
Epcampos315_1_22	7	EPCAM+
Epcampos315_1_23	4	EPCAM+
Epcampos315_1_24	4	EPCAM+
Epcampos315_1_25	4	EPCAM+
Epcampos315_1_26	4	EPCAM+
Epcampos315_1_28	4	EPCAM+
Epcampos315_1_30	7	EPCAM+
Epcampos315_1_31	4	EPCAM+
Epcampos315_1_33	4	EPCAM+
Epcampos315_1_34	7	EPCAM+
Epcampos315_1_36	4	EPCAM+
Epcampos315_1_39	4	EPCAM+
Epcampos315_1_41	4	EPCAM+
Epcampos315_1_43	4	EPCAM+
Epcampos315_1_44	4	EPCAM+
Epcampos315_1_46	4	EPCAM+
Epcampos315_1_47	24	EPCAM+
Epcampos315_1_48	4	EPCAM+
Epcampos315_1_51	4	EPCAM+
Epcampos315_1_52	7	EPCAM+
Epcampos315_1_53	7	EPCAM+
Epcampos315_1_57	4	EPCAM+
Epcampos315_1_58	4	EPCAM+
Epcampos315_1_59	4	EPCAM+
Epcampos315_1_60	4	EPCAM+
Epcampos315_1_61	4	EPCAM+
Epcampos315_1_62	4	EPCAM+
Epcampos315_1_63	4	EPCAM+
Epcampos315_1_64	7	EPCAM+
Epcampos315_1_65	7	EPCAM+
Epcampos315_1_66	4	EPCAM+
Epcampos315_1_68	4	EPCAM+
Epcampos315_1_69	4	EPCAM+
Epcampos315_1_71	7	EPCAM+
Epcampos315_1_72	7	EPCAM+
Epcampos315_1_73	4	EPCAM+
Epcampos315_1_74	7	EPCAM+
Epcampos315_1_75	7	EPCAM+
Epcampos315_1_76	24	EPCAM+
Epcampos315_1_77	4	EPCAM+
Epcampos315_1_78	4	EPCAM+
Epcampos315_1_80	7	EPCAM+
Epcampos315_1_82	4	EPCAM+
Epcampos315_1_83	4	EPCAM+
Epcampos315_1_84	7	EPCAM+
Epcampos315_1_86	7	EPCAM+
Epcampos315_1_87	7	EPCAM+
Epcampos315_1_89	4	EPCAM+
Epcampos315_1_90	4	EPCAM+
Epcampos315_1_91	7	EPCAM+
Epcampos315_1_92	7	EPCAM+
Epcampos315_1_93	4	EPCAM+
Epcampos315_1_94	4	EPCAM+
Epcampos315_4_97	4	EPCAM+
Epcampos315_4_98	4	EPCAM+
Epcampos315_4_99	4	EPCAM+
Epcampos315_4_100	7	EPCAM+
Epcampos315_4_101	4	EPCAM+
Epcampos315_4_102	13	LSEC
Epcampos315_4_105	7	EPCAM+
Epcampos315_4_107	4	EPCAM+
Epcampos315_4_109	7	EPCAM+
Epcampos315_4_110	7	EPCAM+
Epcampos315_4_111	4	EPCAM+
Epcampos315_4_112	4	EPCAM+
Epcampos315_4_114	7	EPCAM+
Epcampos315_4_115	4	EPCAM+
Epcampos315_4_116	4	EPCAM+
Epcampos315_4_117	7	EPCAM+
Epcampos315_4_118	7	EPCAM+
Epcampos315_4_119	4	EPCAM+
Epcampos315_4_120	7	EPCAM+
Epcampos315_4_121	7	EPCAM+
Epcampos315_4_122	4	EPCAM+
Epcampos315_4_123	7	EPCAM+
Epcampos315_4_124	4	EPCAM+
Epcampos315_4_125	4	EPCAM+
Epcampos315_4_127	4	EPCAM+
Epcampos315_4_128	7	EPCAM+
Epcampos315_4_129	9	LSEC
Epcampos315_4_130	4	EPCAM+
Epcampos315_4_131	4	EPCAM+
Epcampos315_4_134	7	EPCAM+
Epcampos315_4_135	7	EPCAM+
Epcampos315_4_136	4	EPCAM+
Epcampos315_4_137	7	EPCAM+
Epcampos315_4_139	4	EPCAM+
Epcampos315_4_140	7	EPCAM+
Epcampos315_4_141	4	EPCAM+
Epcampos315_4_142	7	EPCAM+
Epcampos315_4_143	17	Hepatocytes
Epcampos315_4_144	7	EPCAM+
Epcampos315_4_146	4	EPCAM+
Epcampos315_4_147	7	EPCAM+
Epcampos315_4_149	7	EPCAM+
Epcampos315_4_150	4	EPCAM+
Epcampos315_4_151	7	EPCAM+
Epcampos315_4_153	4	EPCAM+
Epcampos315_4_154	7	EPCAM+
Epcampos315_4_155	4	EPCAM+
Epcampos315_4_157	7	EPCAM+
Epcampos315_4_158	4	EPCAM+
Epcampos315_4_159	13	LSEC
Epcampos315_4_160	4	EPCAM+
Epcampos315_4_162	4	EPCAM+
Epcampos315_4_163	7	EPCAM+
Epcampos315_4_165	4	EPCAM+
Epcampos315_4_166	7	EPCAM+
Epcampos315_4_168	7	EPCAM+
Epcampos315_4_169	4	EPCAM+
Epcampos315_4_170	4	EPCAM+
Epcampos315_4_171	4	EPCAM+
Epcampos315_4_172	4	EPCAM+
Epcampos315_4_173	7	EPCAM+
Epcampos315_4_174	7	EPCAM+
Epcampos315_4_175	4	EPCAM+
Epcampos315_4_176	7	EPCAM+
Epcampos315_4_177	7	EPCAM+
Epcampos315_4_180	7	EPCAM+
Epcampos315_4_185	7	EPCAM+
Epcampos315_4_186	7	EPCAM+
Epcampos315_4_188	4	EPCAM+
Epcampos315_4_189	7	EPCAM+
Epcampos315_4_191	24	EPCAM+
Epcampos315_4_192	7	EPCAM+
LSEC304_1_21	9	LSEC
LSEC304_1_22	2	Kupffer cell
LSEC304_1_27	2	Kupffer cell
LSEC304_1_28	23	Kupffer cell
LSEC304_1_31	14	Hepatocytes
LSEC304_1_44	2	Kupffer cell
LSEC304_1_45	6	Kupffer cell
LSEC304_1_69	2	Kupffer cell
LSEC304_1_80	17	Hepatocytes
LSEC304_2_100	23	Kupffer cell
LSEC304_2_102	14	Hepatocytes
LSEC304_2_104	14	Hepatocytes
LSEC304_2_110	14	Hepatocytes
LSEC304_2_115	14	Hepatocytes
LSEC304_2_116	6	Kupffer cell
LSEC304_2_119	14	Hepatocytes
LSEC304_2_120	14	Hepatocytes
LSEC304_2_125	17	Hepatocytes
LSEC304_2_137	14	Hepatocytes
LSEC304_2_143	11	Hepatocytes
LSEC304_2_147	11	Hepatocytes
LSEC304_2_149	14	Hepatocytes
LSEC304_2_150	9	LSEC
LSEC304_2_151	2	Kupffer cell
LSEC304_2_153	14	Hepatocytes
LSEC304_2_156	23	Kupffer cell
LSEC304_2_157	9	LSEC
LSEC304_2_159	9	LSEC
LSEC304_2_162	14	Hepatocytes
LSEC304_2_170	14	Hepatocytes
LSEC304_2_176	13	LSEC
LSEC304_2_181	14	Hepatocytes
LSEC304_2_185	9	LSEC
LSEC304_2_191	13	LSEC
LSEC304_3_2	13	LSEC
LSEC304_3_4	23	Kupffer cell
LSEC304_3_8	31	Kupffer cell
LSEC304_3_19	9	LSEC
LSEC304_3_25	9	LSEC
LSEC304_3_37	31	Kupffer cell
LSEC304_3_72	25	Kupffer cell
LSEC304_3_76	14	Hepatocytes
LSEC304_3_83	14	Hepatocytes
LSEC304_3_91	6	Kupffer cell
LSEC304_3_93	11	Hepatocytes
LSEC304_3_94	2	Kupffer cell
LSEC304_4_104	14	Hepatocytes
LSEC304_4_118	9	LSEC
LSEC304_4_128	6	Kupffer cell
LSEC304_4_129	9	LSEC
LSEC304_4_131	23	Kupffer cell
LSEC304_4_137	14	Hepatocytes
LSEC304_4_140	14	Hepatocytes
LSEC304_4_148	2	Kupffer cell
LSEC304_4_154	14	Hepatocytes
LSEC304_4_156	13	LSEC
LSEC304_4_163	20	LSEC
LSEC304_4_176	9	LSEC
LSEC304_4_180	14	Hepatocytes
LSEC304_4_186	14	Hepatocytes
LSEC325_13_6	9	LSEC
LSEC325_13_9	13	LSEC
LSEC325_13_14	13	LSEC
LSEC325_13_16	13	LSEC
LSEC325_13_17	9	LSEC
LSEC325_13_18	13	LSEC
LSEC325_13_19	9	LSEC
LSEC325_13_22	9	LSEC
LSEC325_13_25	13	LSEC
LSEC325_13_27	13	LSEC
LSEC325_13_28	9	LSEC
LSEC325_13_30	9	LSEC
LSEC325_13_32	13	LSEC
LSEC325_13_36	13	LSEC
LSEC325_13_38	13	LSEC
LSEC325_13_39	9	LSEC
LSEC325_13_46	6	Kupffer cell
LSEC325_13_51	9	LSEC
LSEC325_13_60	9	LSEC
LSEC325_13_69	13	LSEC
LSEC325_13_71	9	LSEC
LSEC325_13_72	17	Hepatocytes
LSEC325_13_75	13	LSEC
LSEC325_13_79	13	LSEC
LSEC325_13_83	13	LSEC
LSEC325_13_86	13	LSEC
LSEC325_13_90	9	LSEC
LSEC325_14_97	9	LSEC
LSEC325_14_100	30	Hepatocytes
LSEC325_14_103	13	LSEC
LSEC325_14_112	13	LSEC
LSEC325_14_113	9	LSEC
LSEC325_14_114	13	LSEC
LSEC325_14_127	9	LSEC
LSEC325_14_132	13	LSEC
LSEC325_14_137	13	LSEC
LSEC325_14_138	13	LSEC
LSEC325_14_144	31	Kupffer cell
LSEC325_14_145	9	LSEC
LSEC325_14_148	9	LSEC
LSEC325_14_152	13	LSEC
LSEC325_14_153	13	LSEC
LSEC325_14_155	13	LSEC
LSEC325_14_157	9	LSEC
LSEC325_14_159	13	LSEC
LSEC325_14_161	9	LSEC
LSEC325_14_164	13	LSEC
LSEC325_14_166	13	LSEC
LSEC325_14_168	14	Hepatocytes
LSEC325_14_175	13	LSEC
LSEC325_14_176	2	Kupffer cell
LSEC325_14_177	9	LSEC
LSEC325_14_179	13	LSEC
LSEC325_14_183	13	LSEC
LSEC325_14_186	9	LSEC
LSEC325_14_188	9	LSEC
LSEC325_14_190	13	LSEC
LSEC325_15_12	11	Hepatocytes
LSEC325_15_20	13	LSEC
LSEC325_15_26	2	Kupffer cell
LSEC325_15_36	9	LSEC
LSEC325_15_43	13	LSEC
LSEC325_15_54	14	Hepatocytes
LSEC325_15_57	9	LSEC
LSEC325_15_66	9	LSEC
LSEC325_15_73	20	LSEC
LSEC325_15_80	9	LSEC
LSEC325_15_92	13	LSEC
LSEC325_16_98	20	LSEC
LSEC325_16_108	13	LSEC
LSEC325_16_110	13	LSEC
LSEC325_16_111	2	Kupffer cell
LSEC325_16_113	17	Hepatocytes
LSEC325_16_122	13	LSEC
LSEC325_16_136	9	LSEC
LSEC325_16_138	13	LSEC
LSEC325_16_143	9	LSEC
LSEC325_16_144	9	LSEC
LSEC325_16_148	11	Hepatocytes
LSEC325_16_149	13	LSEC
LSEC325_16_154	13	LSEC
