clusters_sub	cell_types
ASGR1pos308_9_26	17	Hepatocytes
ASGR1pos308_9_29	14	Hepatocytes
ASGR1pos308_9_30	14	Hepatocytes
ASGR1pos308_9_31	14	Hepatocytes
ASGR1pos308_9_32	14	Hepatocytes
ASGR1pos308_9_33	14	Hepatocytes
ASGR1pos308_9_34	14	Hepatocytes
ASGR1pos308_9_36	14	Hepatocytes
ASGR1pos308_9_38	14	Hepatocytes
ASGR1pos308_9_39	14	Hepatocytes
ASGR1pos308_9_40	14	Hepatocytes
ASGR1pos308_9_41	14	Hepatocytes
ASGR1pos308_9_43	17	Hepatocytes
ASGR1pos308_9_44	14	Hepatocytes
ASGR1pos308_9_48	14	Hepatocytes
ASGR1pos308_9_49	14	Hepatocytes
ASGR1pos308_9_52	14	Hepatocytes
ASGR1pos308_9_55	14	Hepatocytes
ASGR1pos308_9_56	14	Hepatocytes
ASGR1pos308_9_57	14	Hepatocytes
ASGR1pos308_9_58	14	Hepatocytes
ASGR1pos308_9_59	14	Hepatocytes
ASGR1pos308_9_60	14	Hepatocytes
ASGR1pos308_9_61	14	Hepatocytes
ASGR1pos308_9_62	14	Hepatocytes
ASGR1pos308_9_63	14	Hepatocytes
ASGR1pos308_9_65	14	Hepatocytes
ASGR1pos308_9_66	14	Hepatocytes
ASGR1pos308_9_67	14	Hepatocytes
ASGR1pos308_9_69	14	Hepatocytes
ASGR1pos308_9_70	14	Hepatocytes
ASGR1pos308_9_71	17	Hepatocytes
ASGR1pos308_9_72	17	Hepatocytes
ASGR1pos308_9_73	14	Hepatocytes
ASGR1pos308_9_75	14	Hepatocytes
ASGR1pos308_9_76	17	Hepatocytes
ASGR1pos308_9_80	14	Hepatocytes
ASGR1pos308_9_81	14	Hepatocytes
ASGR1pos308_9_85	17	Hepatocytes
ASGR1pos308_9_86	14	Hepatocytes
ASGR1pos308_9_88	14	Hepatocytes
ASGR1pos308_9_89	14	Hepatocytes
ASGR1pos308_9_90	14	Hepatocytes
ASGR1pos308_9_91	14	Hepatocytes
ASGR1pos308_9_93	14	Hepatocytes
ASGR1pos308_9_94	14	Hepatocytes
ASGR1pos310_5_2	11	Hepatocytes
ASGR1pos310_5_5	14	Hepatocytes
ASGR1pos310_5_6	11	Hepatocytes
ASGR1pos310_5_7	11	Hepatocytes
ASGR1pos310_5_9	11	Hepatocytes
ASGR1pos310_5_10	11	Hepatocytes
ASGR1pos310_5_11	11	Hepatocytes
ASGR1pos310_5_12	11	Hepatocytes
ASGR1pos310_5_13	11	Hepatocytes
ASGR1pos310_5_15	14	Hepatocytes
ASGR1pos310_5_18	11	Hepatocytes
ASGR1pos310_5_20	17	Hepatocytes
ASGR1pos310_5_21	14	Hepatocytes
ASGR1pos310_5_23	11	Hepatocytes
ASGR1pos310_5_27	11	Hepatocytes
ASGR1pos310_5_29	11	Hepatocytes
ASGR1pos310_5_30	11	Hepatocytes
ASGR1pos310_5_31	11	Hepatocytes
ASGR1pos310_5_34	11	Hepatocytes
ASGR1pos310_5_35	11	Hepatocytes
ASGR1pos310_5_36	14	Hepatocytes
ASGR1pos310_5_37	11	Hepatocytes
ASGR1pos310_5_39	11	Hepatocytes
ASGR1pos310_5_40	11	Hepatocytes
ASGR1pos310_5_42	11	Hepatocytes
ASGR1pos310_5_44	11	Hepatocytes
ASGR1pos310_5_45	11	Hepatocytes
ASGR1pos310_5_47	11	Hepatocytes
ASGR1pos310_5_48	11	Hepatocytes
ASGR1pos310_5_52	11	Hepatocytes
ASGR1pos310_5_53	11	Hepatocytes
ASGR1pos310_5_54	11	Hepatocytes
ASGR1pos310_5_56	11	Hepatocytes
ASGR1pos310_5_57	11	Hepatocytes
ASGR1pos310_5_58	11	Hepatocytes
ASGR1pos310_5_59	11	Hepatocytes
ASGR1pos310_5_60	11	Hepatocytes
ASGR1pos310_5_61	11	Hepatocytes
ASGR1pos310_5_63	11	Hepatocytes
ASGR1pos310_5_64	11	Hepatocytes
ASGR1pos310_5_66	17	Hepatocytes
ASGR1pos310_5_67	11	Hepatocytes
ASGR1pos310_5_68	11	Hepatocytes
ASGR1pos310_5_70	11	Hepatocytes
ASGR1pos310_5_73	11	Hepatocytes
ASGR1pos310_5_74	11	Hepatocytes
ASGR1pos310_5_76	11	Hepatocytes
ASGR1pos310_5_77	11	Hepatocytes
ASGR1pos310_5_78	11	Hepatocytes
ASGR1pos310_5_79	14	Hepatocytes
ASGR1pos310_5_84	11	Hepatocytes
ASGR1pos310_5_85	14	Hepatocytes
ASGR1pos310_5_86	11	Hepatocytes
ASGR1pos310_5_87	11	Hepatocytes
ASGR1pos310_5_90	11	Hepatocytes
ASGR1pos310_5_91	11	Hepatocytes
ASGR1pos310_5_94	11	Hepatocytes
ASGR1pos310_5_95	11	Hepatocytes
ASGR1pos310_5_96	11	Hepatocytes
ASGR1pos310_6_97	11	Hepatocytes
ASGR1pos310_6_98	11	Hepatocytes
ASGR1pos310_6_99	11	Hepatocytes
ASGR1pos310_6_101	11	Hepatocytes
ASGR1pos310_6_102	11	Hepatocytes
ASGR1pos310_6_104	11	Hepatocytes
ASGR1pos310_6_107	11	Hepatocytes
ASGR1pos310_6_108	11	Hepatocytes
